 X1 X2 X3 
1.152841904166239217e+01 8.090805871356796075e+00 -1.207074126394131497e+01
2.247628108799104851e-01 4.715584681463088401e+00 2.052392713677258840e+00
-1.634045353588528826e+01 -2.694201054036454579e+01 -1.283993403680807610e+01
1.023779888802220306e+01 9.478513952670471809e+00 7.722849563608223278e+00
-6.133412064105742800e+00 -1.953669089432784745e+01 2.932598188344258117e-01
8.078749073028259176e+00 9.742397743257704690e+00 6.952584451313756908e+00
9.163588793086038464e+00 -1.664481107461256215e+00 4.198459593159091341e+00
-2.058178060906795448e+00 -1.073486457185861020e+01 6.161174718051527499e+00
-1.008452239154640040e+01 -3.682410986316767776e+00 -2.523085116917656734e+01
-2.100762463592403151e+01 -1.963418756791746489e+01 7.828869975533746306e+00
-3.290638774101374509e+00 1.147034430152152673e+00 1.031098120808586671e+01
4.083336139415814081e+00 1.592252614223525597e+01 1.449105496081769751e+00
1.203169136054049027e+01 5.634509986150291638e+00 -1.430774137919428490e+01
2.291314624197568151e+01 2.175406112981448814e+01 5.326317967199263315e+00
7.129269844401639133e+00 6.815007501474816820e-01 1.126726572242842295e+01
-4.393818924501948331e+00 -6.679168129829772482e+00 1.178422744791323495e+01
4.694736208010239636e-02 9.019304745315885441e+00 -8.817475742261406069e+00
-8.485349244301877647e+00 1.146179415064946561e+01 1.061877499699910388e+01
-1.197545010929283826e+01 -1.483392042005837297e+00 -4.230506781139812489e+00
-9.996425962021923795e+00 -4.105632192965030569e+00 -1.253127044226284781e+01
6.499066986652758671e-02 -1.952372021374519706e+00 1.080986910382146249e+01
1.933693944554430288e+01 1.848186902358816042e+01 -9.969395690973781754e+00
-9.109600386205055855e+00 -2.153502533101992356e+00 -2.828120874591171674e+00
2.279195163077237574e+00 4.007341875099900363e+00 -7.606299978904696779e+00
4.071549322402350235e+00 -7.624855982927349451e+00 3.040803722963049793e+00
9.070298203799874059e+00 2.150742883141356643e+00 2.218799887079974997e+00
5.573140658594476271e+00 1.642085354655494100e+01 5.230747692300652396e+00
7.826263992209884890e+00 1.161309552811547974e+01 -8.953168446056114504e+00
-1.964597867559682598e+01 -1.289998053092637065e+01 1.674843632217300993e+01
1.002353539055647724e+00 -1.838262756293955746e-01 9.648761265524775865e+00
5.618805226662266783e+00 2.956951064957666020e+00 -1.177094146489628912e+01
-4.846146237737699813e+00 -1.228364775173560375e+01 -8.504905625610398090e+00
2.778719937376010307e+00 1.994465357540206796e+01 5.027105176705546796e+00
1.270797756211062612e+01 1.623490453034245107e+01 -1.695057018212521882e+01
-5.365730219834043524e+00 -8.553318395857038681e+00 6.050998627671203778e+00
1.957312027054529580e+01 -3.601755735451735774e+00 2.748137541005248430e+00
4.720751305014173838e+00 1.526134517820676884e+01 4.575983916339439794e+00
-8.181388208936992257e+00 -6.331591404751399921e-01 -1.648505138730647701e+01
1.580328543512739259e+01 -8.602138285966169917e+00 -1.044566543026914474e+01
3.890580750165279156e+00 -1.598488718897790761e+00 9.267844763464495372e+00
-2.070339030692734283e+01 -1.655617431236574078e+01 -8.250106028277750525e+00
1.310127576588505605e+01 2.841705750476698356e+01 -9.749051523140105147e+00
1.360143313606638138e+01 2.293697673997984054e+01 7.642795651492817477e+00
6.805986203077414309e+00 2.865562513856879434e+00 2.859358986615569975e+00
5.043921604274204107e+00 2.405680084259080331e+01 -7.182831896701858732e+00
-6.657172494310280797e+00 8.668098193329253576e+00 2.130243585255283989e+01
7.401365356509211679e+00 1.617474825523327553e+01 -8.327384286890289644e+00
-7.773648563689472546e+00 -1.659754591603213925e+01 -3.415674679109630851e+00
5.792655615673755198e-01 -4.473429531965020800e+00 1.109471306903848031e+01
-5.589802090880256813e+00 8.154460762213416203e+00 4.118743029278443046e+00
3.932751436022060787e+00 -9.012846385284738915e+00 1.082807968465919757e+01
-4.877868765188935751e-01 1.168168402481476598e+01 1.701332961955327150e+01
-7.809937799155566296e+00 -1.966897009038650168e+00 -1.595603556139735479e+00
4.466121133462457315e+00 -1.760792791500741750e+00 -8.507084469488042089e+00
-1.142357289039513546e+01 8.119964200154274891e-01 2.947336999564516447e+00
-1.730366369068885390e+01 -2.587322108497004436e+01 -8.138212225792763377e+00
9.518714464637602291e+00 1.790903388478589875e+01 1.661953836334018675e+01
-1.133303191423899392e+01 -1.744803179812400629e+01 -1.141362991558236573e+01
4.644815665520510839e-01 1.113379613042355842e+01 8.066020793168249270e+00
-1.663168683609983134e+01 -1.344445658155334655e+01 8.435628732323049661e+00
-8.593943966122211009e+00 -4.730189161254386931e+00 -9.966996239780232525e-01
8.012216515513856052e+00 1.963024197651019165e+01 -2.471087599392630951e-01
-1.098122199764976825e+00 3.087492250405228233e+00 -4.564926297295206936e+00
-1.252454196330242198e+01 -1.346022789216683080e+01 1.131380755563922946e+01
-1.071463416054199413e+01 -1.164762559293824751e+01 -1.317151274537959793e+01
-6.990974130172955547e+00 -8.021651248287028579e+00 7.868922033505208802e+00
1.816676285087269749e+00 -2.985959860720054593e+00 -9.060133541173907901e+00
-5.341884973498061545e-02 1.692654145007535860e+01 1.599419616553674572e+01
4.723558491413382576e+00 2.251617431634891631e+01 -8.495295987720332676e+00
-1.101797255031319089e+01 -2.641697517878066392e+01 -1.131080910758515756e+01
8.708624575648316934e+00 1.551661133989224162e+01 1.331418283644779166e+01
6.377486174188571333e+00 8.414333536013302250e+00 1.334133798308873153e+01
1.384023037909649290e+01 1.833757603781238643e+01 8.641930468973008317e+00
1.110909091961350192e+01 -7.373905029877358075e+00 1.952257221703369083e+01
5.880860787424324609e-01 -1.870176394235784079e+00 -5.403631022358288405e+00
2.785765026079186413e+00 1.858734895361035200e+01 -5.532874775142888168e+00
-9.167807807680256049e-02 1.417686821590241664e+01 -3.723323287635760703e+00
-1.028462916257800330e+01 -2.682604563273631371e+01 1.688273115004942682e+01
-1.757178963766059976e+00 -7.694765606523850110e+00 9.764598857655480302e+00
-4.369024675855692763e+00 -2.725003736049664127e+01 -5.735676322019081397e+00
-4.093483432729367877e+00 3.408224570637703010e+00 1.268347075122765233e+00
-9.419857107840009292e+00 -1.608155595361248658e+01 -6.501668078493384684e+00
-1.573940804178328534e+01 -1.122383556391811155e+01 -1.541053575767459982e+01
3.945182185583124834e+00 -2.938084392502502418e+00 -5.922902609694058462e+00
-3.516381420634250077e+00 -8.668558869948794765e-02 -1.938027402142724842e+00
3.787370977835751606e+00 -7.741919733266302117e+00 1.535000068469159551e+01
8.144376315766322705e+00 1.774665886634777223e+01 1.475416392892638306e+01
-1.413954294162924441e+01 -2.693352612940336144e+01 -2.612492170825627902e+00
5.604407042119086135e+00 1.777235169500315592e+01 -7.203390132263074008e+00
-4.475774426442158394e+00 3.016291849443359041e+00 1.387061901224398497e+01
-1.178480144878284896e+01 -6.372912967470738543e+00 -8.104444340140830150e+00
-1.499657293678301428e+01 -1.057535356607431254e+01 3.036690539605545247e+00
7.281438940594336273e+00 1.712021866567421569e+01 -3.992389348971307150e+00
8.843405051898422187e+00 1.342925975938463878e+01 4.878567237373797383e+00
7.891543960478268893e-01 7.316786619957623472e+00 5.157144862490874004e+00
8.965721188082181214e+00 1.637670547896949103e+01 1.180602902819722022e+00
-6.679547720331924232e+00 -1.863740105946276060e+01 1.453033768571793161e+01
-6.129005378065389698e-01 -1.611235578676163627e+00 2.327667097083966574e+00
1.407798564040557032e+01 1.311503350272676549e+01 1.220609312908013777e+01
-9.246629963798213225e+00 -1.387204747931103199e+01 1.757869876964247347e+00
-5.043246416289131062e+00 -6.419735298254923173e+00 2.191257788066099721e+01
-4.395013108075202624e+00 -2.915935099388731544e+01 1.447119105076745527e+01
6.589500201812764857e+00 1.018932620900695518e+01 2.122625953764310225e+01
-1.738819160034405797e+01 -9.546414307573527935e+00 -2.172228749318049879e+01
-1.097160496453781953e+01 -9.611188615986474559e+00 5.157339971162072878e+00
1.208964578042045268e+01 1.196854387455530144e+01 3.727466709269861678e+00
8.988513037480394985e+00 -1.308444611093904086e-01 6.488582709423609263e-01
2.255754161518905843e+00 1.377922156819087540e+01 1.266669169353731128e+01
7.199882168352664813e+00 4.882936938887810996e+00 -3.336068341169214690e+00
1.268267790890682534e+01 1.880057883072633373e+01 1.097801369450492359e+01
1.183477608541842585e+01 1.505592794547599311e+00 1.147631845223331482e+01
-8.133472732928137106e+00 -7.948384114292352365e+00 9.782303276165231765e-01
2.063947906515635200e+00 7.042266609772282138e+00 1.106777458783741963e+01
1.836580759549843123e+00 -8.771257503193812255e-01 1.089988655796158667e+01
1.628021550651519078e+01 3.137099032441603441e+01 1.578327646235522463e+00
-2.240030207058541478e+01 -3.063368348129310448e+01 7.478462652725078819e+00
-3.154565601161436916e+00 -1.105405058424502407e+01 1.038315784393187613e+01
-7.443307540219558760e+00 -1.886750049928946460e+00 -7.996049679470037752e+00
4.861879831713516786e+00 -1.311577690068315505e+01 2.755645282119632000e+01
4.629466597281350460e+00 7.748581817898768875e+00 5.252548685339338164e+00
4.761181070713628394e+00 2.059670863952543840e+01 2.187146429729594743e+01
1.171274560193869618e+01 6.043334653779236731e+00 1.304680041688575365e+01
1.986123082941456897e+00 3.382259814343148818e+00 1.254016458567494041e+01
-7.378560541834846553e+00 -6.180573253764874764e+00 -2.742051418622446501e+00
-9.703402200894240437e+00 -1.687590668385297121e+01 2.835744264437324347e+01
7.454202098079113270e+00 -1.769066553800822561e+00 3.802377608252023311e+00
1.650215124841323444e+01 9.322230341576116075e+00 1.154093382758488673e+01
-1.138205671612536207e+01 3.171523696472766218e+00 3.790155981564957255e+00
-4.292352940570277831e+00 4.381229618068098297e+00 -3.621060318082130358e+00
6.902394618712065721e+00 -4.187973434988919053e+00 -2.094589417484870708e+01
6.193091867975987208e-01 1.639734927933120368e+00 -7.505073062446730781e+00
1.817471696338323950e+00 -3.914875992096484847e-01 6.745377017307075951e-01
1.061399259733979639e+00 -1.270912106736576241e+01 -1.360169533741700931e+01
-1.171227044408828988e+01 -2.669728835641396714e+01 -6.492428770444224284e+00
5.290265334603589942e+00 -7.624370076517594796e-01 -1.024282075715548679e+01
-5.880756081385132283e+00 -1.428104887401811851e+00 5.980266977430003017e+00
-1.855133667766268246e+01 -1.953253093756788061e+01 -2.429988028702702962e+01
1.486504711360709940e+01 1.123939700190008217e+01 2.045917882772862839e+01
2.477080877230648959e+00 1.959247904325602585e+00 2.560052204423867828e+00
-1.226473989335167225e+01 -8.923490637825487681e+00 -9.662451549030746989e+00
-6.267386997419484018e+00 5.863775715255462373e+00 -9.803121341070649919e+00
1.048794059243119392e+01 1.538765974927419222e+01 7.436466388137398908e+00
8.618279631166092969e+00 2.720008242169355661e+00 -4.522859444865733991e+00
-2.425759595998307816e+01 -4.988698856936192527e+00 2.932050745492977395e+00
-1.085950411515654679e+01 -1.583489438694209639e+01 2.391095858908023786e+01
3.491828431135759914e+00 4.990813771673994204e-01 -4.487189962906070306e+00
1.670427275887258389e+01 9.422062175596593647e+00 6.611983863621189172e+00
-8.136139383184929130e+00 -5.973148760031901539e+00 -1.328233241706415946e+01
-1.256464568306611440e+01 -1.956249275115649766e+01 2.018156685686463092e+01
6.608046389130393550e+00 4.576228513449852819e+00 1.265529241349141998e+01
-2.884808893211821434e+00 -7.519072354360382349e+00 -7.452873831587693232e+00
-8.890715285636716203e+00 -1.803240113853030380e+01 -1.569095535356169258e+01
-1.067564695680293951e+01 -2.838270585570754179e+00 2.850400272366133969e-02
2.170313087511910410e+01 3.679989269875343894e+01 -1.037938672189643086e+01
-7.004954536171696056e+00 -8.207764783542305764e+00 -1.699835201395618967e+01
-1.239104115734492240e+01 6.630306359627869739e+00 1.341603028198013980e+01
-3.590660711320006637e+00 -8.789116042660170436e+00 -4.618997010357551725e-01
-1.205358781507565169e+01 -1.374116672839956621e+01 8.137243272282214335e+00
-1.353040971031542838e+01 -2.296540253788606378e+01 5.200919864664520276e+00
1.257436090378810789e+01 1.751315974861391922e+01 4.207082601264962918e+00
1.302414580303710989e-01 -2.019939233496349740e+00 -3.884478802020339128e+00
-1.064841254282813665e+01 3.140166625890778107e+00 -2.824545572305527941e+00
-6.981405848092194333e+00 -1.300111781619571261e+01 -4.822318298659501679e+00
-1.768689386193931234e+00 2.146387831298264715e+00 -4.026253639622229485e+00
9.455286696449084261e+00 2.527897962818227207e+00 2.735057455571685558e+00
-7.742231853002793152e+00 6.748590493651287936e+00 1.120311096383078642e+01
4.099231519511801203e+00 7.030910637869855151e+00 8.003438464774619732e+00
1.121562723986031251e+01 2.751529930726972140e+01 6.210578162153814752e-01
-2.185418665109264325e+01 -1.772766044108714212e+01 -3.194913994665788959e+00
-5.912272757317376559e+00 -1.276506634004257990e+01 -1.675840402218454628e+01
-2.676157859134004724e+00 1.610277472770601648e+01 -1.480605641733841438e+01
2.740256687194260365e+01 5.298634948430894553e+01 -1.856800439518672796e+00
9.796175067300193717e+00 1.782702466647458550e+01 -1.364457338759165950e+01
1.639892150095284507e+01 1.444154039455822236e+01 8.121138080507426693e+00
1.753930391897154806e+01 1.567867949573155606e+01 -1.344419298325309775e+01
8.948251843504168690e+00 1.078748955791894026e+01 -2.023886693981716167e+00
-8.827593070709241374e+00 -2.115019877156228745e+01 -4.584127888432160347e+00
-5.915320031872395745e+00 -1.677013390366170142e+01 1.205989750568286833e+00
3.568201666779029058e+00 1.288658745173977849e+01 1.163627165406863284e+01
-1.126173370871466517e+01 -2.672862079793823398e+00 4.938274918519707235e+00
8.225709767293823305e+00 6.834327735772637524e+00 -5.283043935976042604e+00
-1.359157422937265736e+01 -1.342631428155528184e+01 -9.128604977361895467e-02
2.890235971949486338e+00 -7.973500679796218904e+00 -3.197453289722484993e+00
-2.179317421661428611e+00 -3.016539722207994156e+00 2.158615115290582587e+00
-7.553084976207181889e+00 4.495201553467601308e+00 -1.927980115889845436e+01
-1.556321681123394818e+01 -1.583743958042873423e+01 1.075249953360984279e+01
4.863550522562711365e+00 -1.187895739794925021e+01 8.245613119283474290e+00
1.366019606109205364e+00 -1.392761396195998813e+01 8.212270745727916932e+00
-1.113236315968426027e+01 1.367733818869375284e+00 1.195994619813291848e+01
